Player,S/C,Pos,GP,G,A,A1,A2,P,S,PIM,Hits,BkS,TOI,G/GP,A/GP,A1/GP,A2/GP,P/GP,S/GP,PIM/GP,Hits/GP,BkS/GP,TOI/GP
Adam Oates,R,C,"1,337",341,"1,079",664,415,"1,420","2,392",415,79,210,"10,512:35",0.26,0.81,0.5,0.31,1.06,1.79,0.31,--,--,--
Alex Ovechkin,R,L,"1,129",684,569,351,218,"1,253","5,444",711,"2,972",438,"23,635:51",0.61,0.5,0.31,0.19,1.11,4.82,0.63,2.63,0.39,20:56
Alexander Mogilny,L,R,990,473,559,374,185,"1,032","2,966",432,281,68,"8,418:43",0.48,0.56,0.38,0.19,1.04,3,0.44,--,--,--
Artemi Panarin,R,L,365,140,241,151,90,381,949,114,114,72,"7,150:45",0.38,0.66,0.41,0.25,1.04,2.6,0.31,0.31,0.2,19:35
Auston Matthews,L,C,257,142,117,75,42,259,886,44,89,213,"4,742:55",0.55,0.46,0.29,0.16,1.01,3.45,0.17,0.35,0.83,18:27
Bernie Federko,L,C,"1,000",369,761,469,292,"1,130","2,074",487,0,0,--,0.37,0.76,0.47,0.29,1.13,2.07,0.49,--,--,--
Bernie Nicholls,R,C,"1,127",475,734,458,276,"1,209","3,231","1,292",65,25,"1,011:55",0.42,0.65,0.41,0.24,1.07,2.87,1.15,--,--,--
Bill Cowley,L,C,549,195,354,253,99,549,--,143,0,0,--,0.36,0.64,0.46,0.18,1,--,0.26,--,--,--
Bobby Clarke,L,C,"1,144",358,852,541,311,"1,210","2,582","1,453",0,0,--,0.31,0.74,0.47,0.27,1.06,2.26,1.27,--,--,--
Bobby Hull,L,L,"1,063",610,560,366,194,"1,170","4,577",634,0,0,--,0.57,0.53,0.34,0.18,1.1,4.31,0.6,--,--,--
Bobby Orr,L,D,657,270,645,326,319,915,"3,058",953,0,0,--,0.41,0.98,0.5,0.49,1.39,4.65,1.45,--,--,--
Brett Hull,R,R,"1,269",741,650,388,262,"1,391","4,876",458,142,122,"9,648:19",0.58,0.51,0.31,0.21,1.1,3.84,0.36,--,--,--
Bryan Trottier,L,C,"1,279",524,901,542,359,"1,425","2,841",912,0,0,--,0.41,0.7,0.42,0.28,1.11,2.22,0.71,--,--,--
Connor McDavid,L,C,333,152,290,184,106,442,"1,017",110,142,133,"7,149:33",0.46,0.87,0.55,0.32,1.33,3.05,0.33,0.43,0.4,21:28
Cy Denneny,L,L,329,247,89,87,2,336,--,296,0,0,--,0.75,0.27,0.26,0.01,1.02,--,0.9,--,--,--
Dale Hawerchuk,L,C,"1,188",518,891,614,277,"1,409","3,754",740,0,0,--,0.44,0.75,0.52,0.23,1.19,3.16,0.62,--,--,--
Darryl Sittler,L,C,"1,096",484,637,420,217,"1,121","3,815",948,0,0,--,0.44,0.58,0.38,0.2,1.02,3.48,0.86,--,--,--
Denis Savard,R,C,"1,196",473,865,583,282,"1,338","3,142","1,336",0,0,--,0.4,0.72,0.49,0.24,1.12,2.63,1.12,--,--,--
Eric Lindros,R,C,760,372,493,304,189,865,"2,312","1,398",739,146,"9,316:32",0.49,0.65,0.4,0.25,1.14,3.04,1.84,--,--,--
Evgeni Malkin,L,C,882,403,639,399,240,"1,042","2,979",932,531,363,"17,639:34",0.46,0.72,0.45,0.27,1.18,3.38,1.06,0.6,0.41,20:00
Gilbert Perreault,L,C,"1,191",512,814,516,298,"1,326","3,077",500,0,0,--,0.43,0.68,0.43,0.25,1.11,2.58,0.42,--,--,--
Gordie Howe,R,R,"1,767",801,"1,049",746,303,"1,850","3,803","1,685",0,0,--,0.45,0.59,0.42,0.17,1.05,2.15,0.95,--,--,--
Guy Lafleur,R,R,"1,126",560,793,492,301,"1,353","3,516",399,0,0,--,0.5,0.7,0.44,0.27,1.2,3.12,0.35,--,--,--
Harry Cameron,R,D,129,88,54,54,0,142,--,180,0,0,--,0.68,0.42,0.42,0,1.1,--,1.4,--,--,--
Jack Darragh,R,R,144,91,63,49,0,154,--,129,0,0,--,0.63,0.44,0.34,0,1.07,--,0.9,--,--,--
